filename,apparent_presentation,strong_region_fit,additional_region_fit
pilot_portrait_001.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_002.png,feminine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_003.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_004.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_005.png,masculine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_006.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_007.png,feminine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_008.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_009.png,feminine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_010.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_011.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_012.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_013.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_014.png,feminine-presenting,Britain & Ireland; Nordic Europe; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_015.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_016.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_017.png,masculine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_018.png,feminine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_019.png,masculine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_020.png,masculine-presenting,Eastern Europe & Russia; Western & Central Europe; Nordic Europe; North America,Britain & Ireland; Central Asia; Oceania
pilot_portrait_021.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_022.png,feminine-presenting,Britain & Ireland; Nordic Europe; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_023.png,masculine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_024.png,feminine-presenting,Eastern Europe & Russia; Western & Central Europe; Nordic Europe; North America,Britain & Ireland; Central Asia; Oceania
pilot_portrait_025.png,masculine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_026.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_027.png,feminine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_028.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_029.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_030.png,masculine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_031.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_032.png,feminine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
