timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T09:40:30.3102407+02:00,2,12212,Godot_v4.6.2-stable_win64,2.047,0.000,495.7,582.9,30,"31148:DisplayFusion:cpu=5;875.3:ws=150MB|19432:StreamDeck:cpu=5;644.6:ws=85MB|18288:Creative Cloud:cpu=4;430.3:ws=314MB|6348:Codex:cpu=3;900.9:ws=232MB|23548:LM Studio:cpu=2;001.2:ws=92MB|9972:CurseForge:cpu=1;704.0:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.3:ws=139MB"
2026-06-25T09:40:32.3818848+02:00,4.1,12212,Godot_v4.6.2-stable_win64,4.063,2.016,577.6,782.5,31,"31148:DisplayFusion:cpu=5;875.4:ws=150MB|19432:StreamDeck:cpu=5;645.3:ws=85MB|18288:Creative Cloud:cpu=4;430.5:ws=314MB|6348:Codex:cpu=3;902.0:ws=232MB|23548:LM Studio:cpu=2;001.4:ws=92MB|9972:CurseForge:cpu=1;704.0:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.3:ws=136MB"
2026-06-25T09:40:34.4429322+02:00,6.2,12212,Godot_v4.6.2-stable_win64,6.500,2.438,699.8,1,198.6,32,"31148:DisplayFusion:cpu=5;875.4:ws=150MB|19432:StreamDeck:cpu=5;645.8:ws=85MB|18288:Creative Cloud:cpu=4;430.6:ws=314MB|6348:Codex:cpu=3;902.8:ws=232MB|23548:LM Studio:cpu=2;001.4:ws=92MB|9972:CurseForge:cpu=1;704.1:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.5:ws=141MB"
2026-06-25T09:40:36.4857821+02:00,8.2,12212,Godot_v4.6.2-stable_win64,8.516,2.016,703.9,1,202.8,32,"31148:DisplayFusion:cpu=5;875.5:ws=150MB|19432:StreamDeck:cpu=5;646.4:ws=85MB|18288:Creative Cloud:cpu=4;430.6:ws=314MB|6348:Codex:cpu=3;903.7:ws=232MB|23548:LM Studio:cpu=2;001.4:ws=92MB|9972:CurseForge:cpu=1;704.1:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.8:ws=138MB"
2026-06-25T09:40:38.5281255+02:00,10.3,12212,Godot_v4.6.2-stable_win64,10.578,2.062,703.9,1,202.8,32,"31148:DisplayFusion:cpu=5;876.1:ws=150MB|19432:StreamDeck:cpu=5;647.0:ws=85MB|18288:Creative Cloud:cpu=4;430.6:ws=314MB|6348:Codex:cpu=3;904.5:ws=233MB|23548:LM Studio:cpu=2;001.4:ws=92MB|9972:CurseForge:cpu=1;704.1:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.8:ws=136MB"
2026-06-25T09:40:40.5734696+02:00,12.3,12212,Godot_v4.6.2-stable_win64,12.672,2.094,712.2,1,211.1,32,"31148:DisplayFusion:cpu=5;876.2:ws=150MB|19432:StreamDeck:cpu=5;647.4:ws=85MB|18288:Creative Cloud:cpu=4;430.6:ws=314MB|6348:Codex:cpu=3;905.4:ws=234MB|23548:LM Studio:cpu=2;001.5:ws=92MB|9972:CurseForge:cpu=1;704.2:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.8:ws=137MB"
2026-06-25T09:40:42.6289245+02:00,14.4,12212,Godot_v4.6.2-stable_win64,14.766,2.094,712.2,1,211.1,32,"31148:DisplayFusion:cpu=5;876.3:ws=150MB|19432:StreamDeck:cpu=5;647.9:ws=85MB|18288:Creative Cloud:cpu=4;430.9:ws=314MB|6348:Codex:cpu=3;906.1:ws=234MB|23548:LM Studio:cpu=2;001.5:ws=92MB|9972:CurseForge:cpu=1;704.2:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.8:ws=136MB"
2026-06-25T09:40:44.6777846+02:00,16.4,12212,Godot_v4.6.2-stable_win64,16.813,2.047,721.3,1,220.1,32,"31148:DisplayFusion:cpu=5;876.4:ws=150MB|19432:StreamDeck:cpu=5;648.5:ws=85MB|18288:Creative Cloud:cpu=4;430.9:ws=314MB|6348:Codex:cpu=3;906.8:ws=235MB|23548:LM Studio:cpu=2;001.6:ws=92MB|9972:CurseForge:cpu=1;704.2:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.8:ws=136MB"
2026-06-25T09:40:46.7249139+02:00,18.5,12212,Godot_v4.6.2-stable_win64,21.563,4.750,745.4,1,530.8,33,"31148:DisplayFusion:cpu=5;876.5:ws=150MB|19432:StreamDeck:cpu=5;648.8:ws=86MB|18288:Creative Cloud:cpu=4;430.9:ws=314MB|6348:Codex:cpu=3;907.5:ws=235MB|23548:LM Studio:cpu=2;001.6:ws=92MB|9972:CurseForge:cpu=1;704.3:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.8:ws=136MB"
2026-06-25T09:40:48.7855361+02:00,20.5,12212,Godot_v4.6.2-stable_win64,29.250,7.688,772.4,1,557.7,33,"31148:DisplayFusion:cpu=5;876.6:ws=150MB|19432:StreamDeck:cpu=5;648.9:ws=85MB|18288:Creative Cloud:cpu=4;430.9:ws=314MB|6348:Codex:cpu=3;908.2:ws=235MB|23548:LM Studio:cpu=2;001.7:ws=92MB|9972:CurseForge:cpu=1;704.3:ws=57MB|9240:steamwebhelper:cpu=1;176.5:ws=357MB|6392:codex:cpu=910.9:ws=136MB"
2026-06-25T09:40:50.8276579+02:00,22.6,12212,Godot_v4.6.2-stable_win64,35.438,6.188,801.5,1,586.9,33,"31148:DisplayFusion:cpu=5;876.7:ws=150MB|19432:StreamDeck:cpu=5;649.5:ws=85MB|18288:Creative Cloud:cpu=4;431.0:ws=314MB|6348:Codex:cpu=3;909.2:ws=235MB|23548:LM Studio:cpu=2;001.7:ws=92MB|9972:CurseForge:cpu=1;704.4:ws=57MB|9240:steamwebhelper:cpu=1;176.6:ws=357MB|6392:codex:cpu=910.9:ws=137MB"
