timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T16:07:44.3418399+02:00,2,15940,Godot_v4.6.2-stable_win64,0.953,0.000,433.2,443.8,30,"19432:StreamDeck:cpu_total=6676.5:ws=86MB|31148:DisplayFusion:cpu_total=6604.0:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4300.5:ws=226MB|23548:LM Studio:cpu_total=2224.2:ws=92MB|9972:CurseForge:cpu_total=1943.8:ws=59MB|9240:steamwebhelper:cpu_total=1333.7:ws=344MB|6392:codex:cpu_total=982.9:ws=142MB"
2026-06-25T16:07:46.4042554+02:00,4.1,15940,Godot_v4.6.2-stable_win64,2.047,1.094,561.3,648.9,30,"19432:StreamDeck:cpu_total=6676.8:ws=86MB|31148:DisplayFusion:cpu_total=6604.2:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4301.1:ws=226MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1943.9:ws=59MB|9240:steamwebhelper:cpu_total=1333.7:ws=344MB|6392:codex:cpu_total=982.9:ws=142MB"
2026-06-25T16:07:48.4515651+02:00,6.2,15940,Godot_v4.6.2-stable_win64,3.297,1.250,563.5,768.9,32,"19432:StreamDeck:cpu_total=6676.9:ws=86MB|31148:DisplayFusion:cpu_total=6604.2:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4301.1:ws=225MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1943.9:ws=59MB|9240:steamwebhelper:cpu_total=1333.7:ws=344MB|6392:codex:cpu_total=982.9:ws=142MB"
2026-06-25T16:07:50.4990242+02:00,8.2,15940,Godot_v4.6.2-stable_win64,4.344,1.047,594.8,839.5,32,"19432:StreamDeck:cpu_total=6676.9:ws=86MB|31148:DisplayFusion:cpu_total=6604.3:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4301.2:ws=225MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1943.9:ws=59MB|9240:steamwebhelper:cpu_total=1333.7:ws=344MB|6392:codex:cpu_total=983.0:ws=145MB"
2026-06-25T16:07:52.5324424+02:00,10.3,15940,Godot_v4.6.2-stable_win64,4.625,0.281,601.5,846.4,32,"19432:StreamDeck:cpu_total=6676.9:ws=86MB|31148:DisplayFusion:cpu_total=6604.3:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4301.3:ws=225MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1943.9:ws=59MB|9240:steamwebhelper:cpu_total=1333.7:ws=344MB|6392:codex:cpu_total=983.0:ws=141MB"
2026-06-25T16:07:54.5814257+02:00,12.3,15940,Godot_v4.6.2-stable_win64,4.844,0.219,614.2,858.5,32,"19432:StreamDeck:cpu_total=6676.9:ws=86MB|31148:DisplayFusion:cpu_total=6604.4:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4301.4:ws=225MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1943.9:ws=59MB|9240:steamwebhelper:cpu_total=1333.7:ws=344MB|6392:codex:cpu_total=983.0:ws=141MB"
2026-06-25T16:07:56.6211960+02:00,14.3,15940,Godot_v4.6.2-stable_win64,5.813,0.969,684.8,1184.5,32,"19432:StreamDeck:cpu_total=6676.9:ws=86MB|31148:DisplayFusion:cpu_total=6604.5:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4301.6:ws=225MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.0:ws=59MB|9240:steamwebhelper:cpu_total=1333.7:ws=344MB|6392:codex:cpu_total=983.0:ws=145MB"
2026-06-25T16:07:58.6670585+02:00,16.4,15940,Godot_v4.6.2-stable_win64,7.922,2.109,704.4,1204.0,32,"19432:StreamDeck:cpu_total=6677.3:ws=86MB|31148:DisplayFusion:cpu_total=6604.5:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4302.2:ws=226MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.0:ws=59MB|9240:steamwebhelper:cpu_total=1333.8:ws=344MB|6392:codex:cpu_total=983.4:ws=142MB"
2026-06-25T16:08:00.7293143+02:00,18.4,15940,Godot_v4.6.2-stable_win64,10.047,2.125,708.5,1208.1,32,"19432:StreamDeck:cpu_total=6677.6:ws=86MB|31148:DisplayFusion:cpu_total=6604.6:ws=151MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4302.8:ws=227MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.0:ws=59MB|9240:steamwebhelper:cpu_total=1333.8:ws=344MB|6392:codex:cpu_total=983.4:ws=141MB"
2026-06-25T16:08:02.7919500+02:00,20.5,15940,Godot_v4.6.2-stable_win64,12.156,2.109,708.5,1208.1,32,"19432:StreamDeck:cpu_total=6678.2:ws=86MB|31148:DisplayFusion:cpu_total=6604.7:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4303.7:ws=230MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.1:ws=59MB|9240:steamwebhelper:cpu_total=1333.8:ws=344MB|6392:codex:cpu_total=983.4:ws=142MB"
2026-06-25T16:08:04.8569081+02:00,22.6,15940,Godot_v4.6.2-stable_win64,14.281,2.125,716.8,1216.4,32,"19432:StreamDeck:cpu_total=6678.9:ws=86MB|31148:DisplayFusion:cpu_total=6604.8:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4304.5:ws=232MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.1:ws=59MB|9240:steamwebhelper:cpu_total=1333.8:ws=344MB|6392:codex:cpu_total=983.4:ws=142MB"
2026-06-25T16:08:06.9223536+02:00,24.6,15940,Godot_v4.6.2-stable_win64,16.422,2.141,716.8,1216.4,32,"19432:StreamDeck:cpu_total=6679.6:ws=86MB|31148:DisplayFusion:cpu_total=6604.9:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4305.4:ws=232MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.2:ws=59MB|9240:steamwebhelper:cpu_total=1333.8:ws=344MB|6392:codex:cpu_total=983.4:ws=142MB"
2026-06-25T16:08:08.9714524+02:00,26.7,15940,Godot_v4.6.2-stable_win64,18.516,2.094,720.7,1220.3,32,"19432:StreamDeck:cpu_total=6680.3:ws=86MB|31148:DisplayFusion:cpu_total=6604.9:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4306.5:ws=233MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.2:ws=59MB|9240:steamwebhelper:cpu_total=1333.8:ws=344MB|6392:codex:cpu_total=983.4:ws=141MB"
2026-06-25T16:08:11.0223707+02:00,28.7,15940,Godot_v4.6.2-stable_win64,20.563,2.047,855.9,1359.8,32,"19432:StreamDeck:cpu_total=6681.0:ws=86MB|31148:DisplayFusion:cpu_total=6605.1:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4307.4:ws=233MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.2:ws=59MB|9240:steamwebhelper:cpu_total=1333.8:ws=344MB|6392:codex:cpu_total=983.4:ws=142MB"
2026-06-25T16:08:13.0787544+02:00,30.8,15940,Godot_v4.6.2-stable_win64,23.000,2.438,763.6,1266.2,32,"19432:StreamDeck:cpu_total=6681.3:ws=86MB|31148:DisplayFusion:cpu_total=6605.1:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4308.1:ws=233MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.2:ws=59MB|9240:steamwebhelper:cpu_total=1333.8:ws=344MB|6392:codex:cpu_total=983.4:ws=142MB"
2026-06-25T16:08:15.1374934+02:00,32.9,15940,Godot_v4.6.2-stable_win64,31.188,8.188,805.8,1586.8,33,"19432:StreamDeck:cpu_total=6681.6:ws=86MB|31148:DisplayFusion:cpu_total=6605.2:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4308.8:ws=234MB|23548:LM Studio:cpu_total=2224.3:ws=92MB|9972:CurseForge:cpu_total=1944.2:ws=59MB|9240:steamwebhelper:cpu_total=1333.8:ws=344MB|6392:codex:cpu_total=983.4:ws=142MB"
2026-06-25T16:08:17.1750985+02:00,34.9,15940,Godot_v4.6.2-stable_win64,37.344,6.156,829.4,1610.7,33,"19432:StreamDeck:cpu_total=6682.2:ws=86MB|31148:DisplayFusion:cpu_total=6605.4:ws=151MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4309.8:ws=234MB|23548:LM Studio:cpu_total=2224.4:ws=92MB|9972:CurseForge:cpu_total=1944.3:ws=59MB|9240:steamwebhelper:cpu_total=1333.9:ws=344MB|6392:codex:cpu_total=983.4:ws=141MB"
2026-06-25T16:08:19.2371404+02:00,36.9,15940,Godot_v4.6.2-stable_win64,39.500,2.156,829.4,1610.7,33,"19432:StreamDeck:cpu_total=6682.9:ws=86MB|31148:DisplayFusion:cpu_total=6605.4:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4310.9:ws=234MB|23548:LM Studio:cpu_total=2224.4:ws=92MB|9972:CurseForge:cpu_total=1944.3:ws=59MB|9240:steamwebhelper:cpu_total=1333.9:ws=344MB|6392:codex:cpu_total=983.5:ws=142MB"
2026-06-25T16:08:21.2877035+02:00,39,15940,Godot_v4.6.2-stable_win64,41.594,2.094,829.6,1610.9,33,"19432:StreamDeck:cpu_total=6683.5:ws=86MB|31148:DisplayFusion:cpu_total=6605.6:ws=150MB|18288:Creative Cloud:cpu_total=4952.3:ws=314MB|6348:Codex:cpu_total=4311.9:ws=235MB|23548:LM Studio:cpu_total=2224.7:ws=92MB|9972:CurseForge:cpu_total=1944.4:ws=59MB|9240:steamwebhelper:cpu_total=1333.9:ws=344MB|6392:codex:cpu_total=983.5:ws=141MB"
2026-06-25T16:08:23.3414276+02:00,41.1,15940,Godot_v4.6.2-stable_win64,45.672,4.078,821.9,1606.0,33,"19432:StreamDeck:cpu_total=6683.8:ws=86MB|31148:DisplayFusion:cpu_total=6605.6:ws=150MB|18288:Creative Cloud:cpu_total=4952.4:ws=314MB|6348:Codex:cpu_total=4312.6:ws=233MB|23548:LM Studio:cpu_total=2224.7:ws=92MB|9972:CurseForge:cpu_total=1944.4:ws=59MB|9240:steamwebhelper:cpu_total=1333.9:ws=344MB|6392:codex:cpu_total=983.5:ws=141MB"
2026-06-25T16:08:25.4008265+02:00,43.1,15940,Godot_v4.6.2-stable_win64,50.094,4.422,844.9,1625.8,33,"19432:StreamDeck:cpu_total=6684.5:ws=86MB|31148:DisplayFusion:cpu_total=6605.7:ws=150MB|18288:Creative Cloud:cpu_total=4952.4:ws=314MB|6348:Codex:cpu_total=4313.5:ws=233MB|23548:LM Studio:cpu_total=2224.7:ws=92MB|9972:CurseForge:cpu_total=1944.5:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.5:ws=141MB"
2026-06-25T16:08:27.4690915+02:00,45.2,15940,Godot_v4.6.2-stable_win64,56.781,6.672,831.6,1614.4,33,"19432:StreamDeck:cpu_total=6684.6:ws=86MB|31148:DisplayFusion:cpu_total=6605.8:ws=150MB|18288:Creative Cloud:cpu_total=4952.4:ws=314MB|6348:Codex:cpu_total=4314.2:ws=234MB|23548:LM Studio:cpu_total=2224.7:ws=92MB|9972:CurseForge:cpu_total=1944.5:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.5:ws=141MB"
2026-06-25T16:08:29.5200749+02:00,47.2,15940,Godot_v4.6.2-stable_win64,61.188,4.422,852.3,1632.7,33,"19432:StreamDeck:cpu_total=6685.2:ws=86MB|31148:DisplayFusion:cpu_total=6605.9:ws=150MB|18288:Creative Cloud:cpu_total=4952.4:ws=314MB|6348:Codex:cpu_total=4315.0:ws=235MB|23548:LM Studio:cpu_total=2224.7:ws=92MB|9972:CurseForge:cpu_total=1944.6:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=142MB"
2026-06-25T16:08:31.5823793+02:00,49.3,15940,Godot_v4.6.2-stable_win64,65.797,4.609,880.5,1661.8,33,"19432:StreamDeck:cpu_total=6685.6:ws=86MB|31148:DisplayFusion:cpu_total=6606.0:ws=150MB|18288:Creative Cloud:cpu_total=4952.4:ws=314MB|6348:Codex:cpu_total=4315.7:ws=238MB|23548:LM Studio:cpu_total=2224.8:ws=92MB|9972:CurseForge:cpu_total=1944.6:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:33.6347186+02:00,51.3,15940,Godot_v4.6.2-stable_win64,70.078,4.281,906.5,1687.8,33,"19432:StreamDeck:cpu_total=6686.1:ws=86MB|31148:DisplayFusion:cpu_total=6606.0:ws=150MB|18288:Creative Cloud:cpu_total=4952.5:ws=314MB|6348:Codex:cpu_total=4316.4:ws=244MB|23548:LM Studio:cpu_total=2224.8:ws=92MB|9972:CurseForge:cpu_total=1944.7:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:35.7002981+02:00,53.4,15940,Godot_v4.6.2-stable_win64,74.625,4.547,932.1,1713.0,33,"19432:StreamDeck:cpu_total=6686.5:ws=86MB|31148:DisplayFusion:cpu_total=6606.3:ws=150MB|18288:Creative Cloud:cpu_total=4952.5:ws=314MB|6348:Codex:cpu_total=4317.6:ws=245MB|23548:LM Studio:cpu_total=2224.8:ws=92MB|9972:CurseForge:cpu_total=1944.7:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:37.7580475+02:00,55.5,15940,Godot_v4.6.2-stable_win64,78.625,4.000,955.0,1735.6,33,"19432:StreamDeck:cpu_total=6687.2:ws=86MB|31148:DisplayFusion:cpu_total=6606.3:ws=150MB|18288:Creative Cloud:cpu_total=4952.6:ws=314MB|6348:Codex:cpu_total=4318.6:ws=246MB|23548:LM Studio:cpu_total=2224.8:ws=92MB|9972:CurseForge:cpu_total=1944.8:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:39.8125652+02:00,57.5,15940,Godot_v4.6.2-stable_win64,81.594,2.969,958.1,1738.6,33,"19432:StreamDeck:cpu_total=6687.6:ws=86MB|31148:DisplayFusion:cpu_total=6606.4:ws=150MB|18288:Creative Cloud:cpu_total=4952.6:ws=314MB|6348:Codex:cpu_total=4319.7:ws=246MB|23548:LM Studio:cpu_total=2224.8:ws=92MB|9972:CurseForge:cpu_total=1944.8:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:41.8943964+02:00,59.6,15940,Godot_v4.6.2-stable_win64,84.813,3.219,958.2,1742.6,32,"19432:StreamDeck:cpu_total=6688.3:ws=86MB|31148:DisplayFusion:cpu_total=6606.5:ws=150MB|18288:Creative Cloud:cpu_total=4952.7:ws=314MB|6348:Codex:cpu_total=4320.6:ws=246MB|23548:LM Studio:cpu_total=2224.8:ws=92MB|9972:CurseForge:cpu_total=1944.8:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:43.9457942+02:00,61.7,15940,Godot_v4.6.2-stable_win64,87.797,2.984,958.3,1742.6,29,"19432:StreamDeck:cpu_total=6688.9:ws=86MB|31148:DisplayFusion:cpu_total=6606.6:ws=150MB|18288:Creative Cloud:cpu_total=4952.7:ws=314MB|6348:Codex:cpu_total=4321.6:ws=246MB|23548:LM Studio:cpu_total=2224.8:ws=92MB|9972:CurseForge:cpu_total=1944.9:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:46.0045663+02:00,63.7,15940,Godot_v4.6.2-stable_win64,90.234,2.438,958.4,1742.6,29,"19432:StreamDeck:cpu_total=6689.5:ws=86MB|31148:DisplayFusion:cpu_total=6606.7:ws=150MB|18288:Creative Cloud:cpu_total=4952.7:ws=314MB|6348:Codex:cpu_total=4322.4:ws=247MB|23548:LM Studio:cpu_total=2224.8:ws=92MB|9972:CurseForge:cpu_total=1944.9:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:48.0502970+02:00,65.8,15940,Godot_v4.6.2-stable_win64,92.438,2.203,958.4,1742.6,29,"19432:StreamDeck:cpu_total=6689.7:ws=86MB|31148:DisplayFusion:cpu_total=6606.8:ws=150MB|18288:Creative Cloud:cpu_total=4952.7:ws=314MB|6348:Codex:cpu_total=4323.4:ws=247MB|23548:LM Studio:cpu_total=2224.9:ws=92MB|9972:CurseForge:cpu_total=1945.0:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:50.1200287+02:00,67.8,15940,Godot_v4.6.2-stable_win64,94.719,2.281,958.5,1742.6,29,"19432:StreamDeck:cpu_total=6690.3:ws=86MB|31148:DisplayFusion:cpu_total=6606.9:ws=150MB|18288:Creative Cloud:cpu_total=4952.8:ws=314MB|6348:Codex:cpu_total=4324.4:ws=247MB|23548:LM Studio:cpu_total=2224.9:ws=92MB|9972:CurseForge:cpu_total=1945.0:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:52.1832422+02:00,69.9,15940,Godot_v4.6.2-stable_win64,96.859,2.141,958.5,1742.6,29,"19432:StreamDeck:cpu_total=6690.4:ws=86MB|31148:DisplayFusion:cpu_total=6607.0:ws=150MB|18288:Creative Cloud:cpu_total=4952.9:ws=314MB|6348:Codex:cpu_total=4325.2:ws=247MB|23548:LM Studio:cpu_total=2224.9:ws=92MB|9972:CurseForge:cpu_total=1945.0:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:54.2387033+02:00,72,15940,Godot_v4.6.2-stable_win64,98.984,2.125,958.7,1742.7,29,"19432:StreamDeck:cpu_total=6691.1:ws=86MB|31148:DisplayFusion:cpu_total=6607.0:ws=150MB|18288:Creative Cloud:cpu_total=4952.9:ws=314MB|6348:Codex:cpu_total=4326.5:ws=248MB|23548:LM Studio:cpu_total=2224.9:ws=92MB|9972:CurseForge:cpu_total=1945.1:ws=59MB|9240:steamwebhelper:cpu_total=1334.0:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
2026-06-25T16:08:56.2845619+02:00,74,15940,Godot_v4.6.2-stable_win64,101.328,2.344,958.7,1742.7,29,"19432:StreamDeck:cpu_total=6691.9:ws=86MB|31148:DisplayFusion:cpu_total=6607.2:ws=150MB|18288:Creative Cloud:cpu_total=4952.9:ws=314MB|6348:Codex:cpu_total=4327.4:ws=248MB|23548:LM Studio:cpu_total=2224.9:ws=92MB|9972:CurseForge:cpu_total=1945.1:ws=59MB|9240:steamwebhelper:cpu_total=1334.1:ws=344MB|6392:codex:cpu_total=983.6:ws=141MB"
