timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T18:02:11.7930417+02:00,2,45616,Godot_v4.6.2-stable_win64,2.078,0.000,474.4,484.9,30,"19432:StreamDeck:cpu_total=8183.1:ws=85MB|31148:DisplayFusion:cpu_total=6869.8:ws=152MB|6348:Codex:cpu_total=6022.9:ws=301MB|18288:Creative Cloud:cpu_total=5018.5:ws=313MB|23548:LM Studio:cpu_total=2295.6:ws=88MB|9972:CurseForge:cpu_total=2039.9:ws=56MB|9240:steamwebhelper:cpu_total=1389.0:ws=344MB|6392:codex:cpu_total=1055.3:ws=147MB"
2026-06-25T18:02:13.8662882+02:00,4.1,45616,Godot_v4.6.2-stable_win64,4.063,1.984,558.2,762.6,31,"19432:StreamDeck:cpu_total=8184.3:ws=85MB|31148:DisplayFusion:cpu_total=6870.0:ws=152MB|6348:Codex:cpu_total=6024.0:ws=309MB|18288:Creative Cloud:cpu_total=5018.5:ws=313MB|23548:LM Studio:cpu_total=2295.7:ws=88MB|9972:CurseForge:cpu_total=2040.0:ws=56MB|9240:steamwebhelper:cpu_total=1389.0:ws=344MB|6392:codex:cpu_total=1055.3:ws=148MB"
2026-06-25T18:02:15.9195962+02:00,6.2,45616,Godot_v4.6.2-stable_win64,5.875,1.812,615.5,1116.2,32,"19432:StreamDeck:cpu_total=8185.4:ws=85MB|31148:DisplayFusion:cpu_total=6870.1:ws=152MB|6348:Codex:cpu_total=6024.9:ws=302MB|18288:Creative Cloud:cpu_total=5018.5:ws=313MB|23548:LM Studio:cpu_total=2295.7:ws=88MB|9972:CurseForge:cpu_total=2040.0:ws=56MB|9240:steamwebhelper:cpu_total=1389.1:ws=344MB|6392:codex:cpu_total=1055.3:ws=144MB"
2026-06-25T18:02:17.9848345+02:00,8.2,45616,Godot_v4.6.2-stable_win64,8.469,2.594,691.0,1189.2,32,"19432:StreamDeck:cpu_total=8186.4:ws=85MB|31148:DisplayFusion:cpu_total=6870.2:ws=152MB|6348:Codex:cpu_total=6025.7:ws=285MB|18288:Creative Cloud:cpu_total=5018.5:ws=313MB|23548:LM Studio:cpu_total=2295.7:ws=88MB|9972:CurseForge:cpu_total=2040.1:ws=56MB|9240:steamwebhelper:cpu_total=1389.1:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:20.0382379+02:00,10.3,45616,Godot_v4.6.2-stable_win64,10.547,2.078,695.2,1193.4,32,"19432:StreamDeck:cpu_total=8186.8:ws=85MB|31148:DisplayFusion:cpu_total=6870.3:ws=152MB|6348:Codex:cpu_total=6026.5:ws=285MB|18288:Creative Cloud:cpu_total=5018.6:ws=313MB|23548:LM Studio:cpu_total=2295.7:ws=88MB|9972:CurseForge:cpu_total=2040.1:ws=56MB|9240:steamwebhelper:cpu_total=1389.1:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:22.0948201+02:00,12.4,45616,Godot_v4.6.2-stable_win64,12.703,2.156,695.2,1193.4,32,"19432:StreamDeck:cpu_total=8187.3:ws=85MB|31148:DisplayFusion:cpu_total=6870.4:ws=152MB|6348:Codex:cpu_total=6027.1:ws=285MB|18288:Creative Cloud:cpu_total=5018.6:ws=313MB|23548:LM Studio:cpu_total=2295.7:ws=88MB|9972:CurseForge:cpu_total=2040.2:ws=56MB|9240:steamwebhelper:cpu_total=1389.1:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:24.1517075+02:00,14.4,45616,Godot_v4.6.2-stable_win64,14.766,2.062,703.5,1201.7,32,"19432:StreamDeck:cpu_total=8188.3:ws=85MB|31148:DisplayFusion:cpu_total=6870.5:ws=152MB|6348:Codex:cpu_total=6028.3:ws=285MB|18288:Creative Cloud:cpu_total=5018.6:ws=313MB|23548:LM Studio:cpu_total=2295.7:ws=88MB|9972:CurseForge:cpu_total=2040.2:ws=56MB|9240:steamwebhelper:cpu_total=1389.1:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:26.1968915+02:00,16.5,45616,Godot_v4.6.2-stable_win64,16.813,2.047,703.5,1201.7,32,"19432:StreamDeck:cpu_total=8189.3:ws=85MB|31148:DisplayFusion:cpu_total=6870.6:ws=152MB|6348:Codex:cpu_total=6029.4:ws=285MB|18288:Creative Cloud:cpu_total=5018.7:ws=313MB|23548:LM Studio:cpu_total=2295.7:ws=88MB|9972:CurseForge:cpu_total=2040.2:ws=56MB|9240:steamwebhelper:cpu_total=1389.1:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:28.2580318+02:00,18.5,45616,Godot_v4.6.2-stable_win64,18.875,2.062,705.0,1203.2,32,"19432:StreamDeck:cpu_total=8189.7:ws=85MB|31148:DisplayFusion:cpu_total=6870.9:ws=152MB|6348:Codex:cpu_total=6030.3:ws=307MB|18288:Creative Cloud:cpu_total=5018.7:ws=313MB|23548:LM Studio:cpu_total=2295.8:ws=88MB|9972:CurseForge:cpu_total=2040.4:ws=56MB|9240:steamwebhelper:cpu_total=1389.3:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:30.3080294+02:00,20.6,45616,Godot_v4.6.2-stable_win64,20.922,2.047,774.7,1275.3,32,"19432:StreamDeck:cpu_total=8190.6:ws=85MB|31148:DisplayFusion:cpu_total=6871.0:ws=152MB|6348:Codex:cpu_total=6031.0:ws=305MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2295.8:ws=88MB|9972:CurseForge:cpu_total=2040.4:ws=56MB|9240:steamwebhelper:cpu_total=1389.3:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
2026-06-25T18:02:32.3605714+02:00,22.6,45616,Godot_v4.6.2-stable_win64,23.000,2.078,899.5,1403.8,32,"19432:StreamDeck:cpu_total=8191.6:ws=85MB|31148:DisplayFusion:cpu_total=6871.1:ws=152MB|6348:Codex:cpu_total=6031.9:ws=301MB|18288:Creative Cloud:cpu_total=5018.8:ws=313MB|23548:LM Studio:cpu_total=2295.8:ws=88MB|9972:CurseForge:cpu_total=2040.5:ws=56MB|9240:steamwebhelper:cpu_total=1389.3:ws=344MB|6392:codex:cpu_total=1055.5:ws=143MB"
