timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T19:58:51.3952438+02:00,2,31844,Godot_v4.6.2-stable_win64,37.031,0.000,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10004.4:ws=69MB|6348:Codex:cpu_total=7737.9:ws=284MB|31148:DisplayFusion:cpu_total=7161.5:ws=124MB|18288:Creative Cloud:cpu_total=5323.7:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.2:ws=44MB|9240:steamwebhelper:cpu_total=1445.9:ws=355MB|9932:Codex:cpu_total=1232.3:ws=435MB"
2026-06-25T19:58:53.4675121+02:00,4.1,31844,Godot_v4.6.2-stable_win64,37.031,0.000,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10005.4:ws=70MB|6348:Codex:cpu_total=7738.8:ws=284MB|31148:DisplayFusion:cpu_total=7161.6:ws=124MB|18288:Creative Cloud:cpu_total=5323.9:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.3:ws=44MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.3:ws=435MB"
2026-06-25T19:58:55.5138532+02:00,6.2,31844,Godot_v4.6.2-stable_win64,37.031,0.000,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10006.3:ws=69MB|6348:Codex:cpu_total=7739.8:ws=289MB|31148:DisplayFusion:cpu_total=7161.7:ws=124MB|18288:Creative Cloud:cpu_total=5323.9:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.3:ws=44MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.7:ws=440MB"
2026-06-25T19:58:57.5563828+02:00,8.2,31844,Godot_v4.6.2-stable_win64,37.031,0.000,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10007.3:ws=69MB|6348:Codex:cpu_total=7740.9:ws=288MB|31148:DisplayFusion:cpu_total=7161.8:ws=124MB|18288:Creative Cloud:cpu_total=5323.9:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.3:ws=44MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.8:ws=441MB"
2026-06-25T19:58:59.6026025+02:00,10.3,31844,Godot_v4.6.2-stable_win64,37.031,0.000,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10008.1:ws=69MB|6348:Codex:cpu_total=7742.0:ws=283MB|31148:DisplayFusion:cpu_total=7161.9:ws=124MB|18288:Creative Cloud:cpu_total=5324.0:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.3:ws=44MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.8:ws=441MB"
2026-06-25T19:59:01.6497194+02:00,12.3,31844,Godot_v4.6.2-stable_win64,37.031,0.000,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10008.8:ws=69MB|6348:Codex:cpu_total=7743.0:ws=284MB|31148:DisplayFusion:cpu_total=7162.0:ws=124MB|18288:Creative Cloud:cpu_total=5324.1:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.3:ws=44MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.8:ws=439MB"
2026-06-25T19:59:03.6946577+02:00,14.4,31844,Godot_v4.6.2-stable_win64,37.031,0.000,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10010.1:ws=69MB|6348:Codex:cpu_total=7743.9:ws=283MB|31148:DisplayFusion:cpu_total=7162.1:ws=124MB|18288:Creative Cloud:cpu_total=5324.1:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.4:ws=44MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.8:ws=439MB"
2026-06-25T19:59:05.7407924+02:00,16.4,31844,Godot_v4.6.2-stable_win64,37.031,0.000,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10011.2:ws=69MB|6348:Codex:cpu_total=7744.8:ws=267MB|31148:DisplayFusion:cpu_total=7162.2:ws=124MB|18288:Creative Cloud:cpu_total=5324.1:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.4:ws=44MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.8:ws=439MB"
2026-06-25T19:59:07.7780508+02:00,18.4,31844,Godot_v4.6.2-stable_win64,37.031,0.000,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10012.1:ws=69MB|6348:Codex:cpu_total=7745.9:ws=291MB|31148:DisplayFusion:cpu_total=7162.2:ws=124MB|18288:Creative Cloud:cpu_total=5324.1:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.5:ws=44MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.8:ws=439MB"
2026-06-25T19:59:09.8386806+02:00,20.5,31844,Godot_v4.6.2-stable_win64,37.047,0.016,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10013.2:ws=69MB|6348:Codex:cpu_total=7746.9:ws=288MB|31148:DisplayFusion:cpu_total=7162.3:ws=124MB|18288:Creative Cloud:cpu_total=5324.4:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.5:ws=44MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.8:ws=437MB"
2026-06-25T19:59:11.8888438+02:00,22.6,31844,Godot_v4.6.2-stable_win64,37.063,0.016,2580.3,3380.9,28,"19432:StreamDeck:cpu_total=10014.3:ws=69MB|6348:Codex:cpu_total=7747.8:ws=266MB|31148:DisplayFusion:cpu_total=7162.4:ws=124MB|18288:Creative Cloud:cpu_total=5324.4:ws=341MB|23548:LM Studio:cpu_total=2373.6:ws=80MB|9972:CurseForge:cpu_total=2132.6:ws=43MB|9240:steamwebhelper:cpu_total=1446.0:ws=355MB|9932:Codex:cpu_total=1232.8:ws=437MB"
